episode,score,steps,total_reward,time,reason,efficiency,snake_length,grid_width,grid_height,grid_size,training_grid,is_training_grid,complexity_ratio,max_possible_score,agent
25,11,34,466.91666666666663,0.016575336456298828,self_collision,0.3235294117647059,14,4,4,4x4,10x10,False,0.16,13,DQN
26,7,19,259.88333333333327,0.016933917999267578,self_collision,0.3684210526315789,10,4,4,4x4,10x10,False,0.16,13,DQN
27,13,42,769.6999999999998,0.01638007164001465,win,0.30952380952380953,16,4,4,4x4,10x10,False,0.16,13,DQN
28,7,18,259.2,0.016659975051879883,self_collision,0.3888888888888889,10,4,4,4x4,10x10,False,0.16,13,DQN
29,6,23,210.26666666666665,0.0,wall_collision,0.2608695652173913,9,4,4,4x4,10x10,False,0.16,13,DQN
30,10,40,417.2333333333331,0.01680588722229004,self_collision,0.25,13,4,4,4x4,10x10,False,0.16,13,DQN
31,6,22,208.86666666666673,0.023714065551757812,self_collision,0.2727272727272727,9,4,4,4x4,10x10,False,0.16,13,DQN
32,7,23,261.5333333333333,0.009554386138916016,self_collision,0.30434782608695654,10,4,4,4x4,10x10,False,0.16,13,DQN
33,7,22,261.0999999999999,0.0,wall_collision,0.3181818181818182,10,4,4,4x4,10x10,False,0.16,13,DQN
34,13,35,767.9,0.016909360885620117,win,0.37142857142857144,16,4,4,4x4,10x10,False,0.16,13,DQN
35,13,40,770.4999999999998,0.03181958198547363,win,0.325,16,4,4,4x4,10x10,False,0.16,13,DQN
36,13,32,768.2999999999998,0.0011966228485107422,win,0.40625,16,4,4,4x4,10x10,False,0.16,13,DQN
37,5,14,158.5333333333333,0.01902627944946289,self_collision,0.35714285714285715,8,4,4,4x4,10x10,False,0.16,13,DQN
38,2,6,2.6166666666666742,0.0,self_collision,0.3333333333333333,5,4,4,4x4,10x10,False,0.16,13,DQN
39,7,23,260.94999999999993,0.015089035034179688,wall_collision,0.30434782608695654,10,4,4,4x4,10x10,False,0.16,13,DQN
40,5,21,158.08333333333331,0.010003805160522461,wall_collision,0.23809523809523808,8,4,4,4x4,10x10,False,0.16,13,DQN
41,6,34,211.71666666666658,0.005767107009887695,wall_collision,0.17647058823529413,9,4,4,4x4,10x10,False,0.16,13,DQN
42,13,37,768.2833333333331,0.01712656021118164,win,0.35135135135135137,16,4,4,4x4,10x10,False,0.16,13,DQN
43,6,22,209.7333333333333,0.016515016555786133,wall_collision,0.2727272727272727,9,4,4,4x4,10x10,False,0.16,13,DQN
44,13,32,767.5,0.016559123992919922,win,0.40625,16,4,4,4x4,10x10,False,0.16,13,DQN
45,5,13,157.3,0.0,self_collision,0.38461538461538464,8,4,4,4x4,10x10,False,0.16,13,DQN
46,7,23,260.9,0.016866683959960938,self_collision,0.30434782608695654,10,4,4,4x4,10x10,False,0.16,13,DQN
47,10,33,416.6333333333332,0.029555082321166992,self_collision,0.30303030303030304,13,4,4,4x4,10x10,False,0.16,13,DQN
48,11,48,470.7833333333331,0.020360946655273438,self_collision,0.22916666666666666,14,4,4,4x4,10x10,False,0.16,13,DQN
49,5,20,158.41666666666669,0.0,wall_collision,0.25,8,4,4,4x4,10x10,False,0.16,13,DQN
50,7,23,261.06666666666666,0.016873836517333984,wall_collision,0.30434782608695654,10,4,4,4x4,10x10,False,0.16,13,DQN
51,6,21,210.16666666666663,0.015080690383911133,self_collision,0.2857142857142857,9,4,4,4x4,10x10,False,0.16,13,DQN
52,7,14,258.81666666666666,0.0012784004211425781,wall_collision,0.5,10,4,4,4x4,10x10,False,0.16,13,DQN
53,5,19,158.56666666666666,0.0,self_collision,0.2631578947368421,8,4,4,4x4,10x10,False,0.16,13,DQN
54,12,39,519.5999999999999,0.03214836120605469,self_collision,0.3076923076923077,15,4,4,4x4,10x10,False,0.16,13,DQN
55,8,26,311.9833333333334,0.0011646747589111328,self_collision,0.3076923076923077,11,4,4,4x4,10x10,False,0.16,13,DQN
56,9,44,368.2499999999997,0.031929731369018555,self_collision,0.20454545454545456,12,4,4,4x4,10x10,False,0.16,13,DQN
57,8,16,309.46666666666664,0.001312255859375,wall_collision,0.5,11,4,4,4x4,10x10,False,0.16,13,DQN
58,5,13,156.91666666666669,0.0,self_collision,0.38461538461538464,8,4,4,4x4,10x10,False,0.16,13,DQN
59,6,32,213.18333333333328,0.016956090927124023,wall_collision,0.1875,9,4,4,4x4,10x10,False,0.16,13,DQN
60,7,28,261.44999999999993,0.016669034957885742,self_collision,0.25,10,4,4,4x4,10x10,False,0.16,13,DQN
61,3,8,53.76666666666665,0.0,self_collision,0.375,6,4,4,4x4,10x10,False,0.16,13,DQN
62,6,18,208.68333333333328,0.01654791831970215,wall_collision,0.3333333333333333,9,4,4,4x4,10x10,False,0.16,13,DQN
63,13,27,768.2666666666664,0.0,win,0.48148148148148145,16,4,4,4x4,10x10,False,0.16,13,DQN
64,3,11,54.916666666666686,0.016814470291137695,self_collision,0.2727272727272727,6,4,4,4x4,10x10,False,0.16,13,DQN
65,5,23,159.63333333333333,0.016710758209228516,wall_collision,0.21739130434782608,8,4,4,4x4,10x10,False,0.16,13,DQN
66,6,26,212.10000000000002,0.03309512138366699,wall_collision,0.23076923076923078,9,4,4,4x4,10x10,False,0.16,13,DQN
67,12,34,520.0166666666664,0.03222775459289551,self_collision,0.35294117647058826,15,4,4,4x4,10x10,False,0.16,13,DQN
68,6,19,209.03333333333325,0.0015292167663574219,wall_collision,0.3157894736842105,9,4,4,4x4,10x10,False,0.16,13,DQN
69,6,28,212.18333333333322,0.02014756202697754,wall_collision,0.21428571428571427,9,4,4,4x4,10x10,False,0.16,13,DQN
70,9,32,364.69999999999993,0.013757705688476562,wall_collision,0.28125,12,4,4,4x4,10x10,False,0.16,13,DQN
71,5,19,158.05,0.0,wall_collision,0.2631578947368421,8,4,4,4x4,10x10,False,0.16,13,DQN
72,4,16,106.93333333333334,0.01575303077697754,wall_collision,0.25,7,4,4,4x4,10x10,False,0.16,13,DQN
73,8,38,315.19999999999993,0.01650714874267578,self_collision,0.21052631578947367,11,4,4,4x4,10x10,False,0.16,13,DQN
