timestamp,grid_size,grid_width,grid_height,max_possible_score,agent,agent_category,episode,points_scored,game_won,game_won_percentage,moves_made,total_reward,efficiency,snake_length,survival_time,termination_reason,score_percentage,board_coverage,moves_per_food,complexity_ratio,is_training_grid,successful_episode,high_performance
20251015_171004,4x4,4,4,13,A*,Simple_Agent,29,3,0,0,7,53.650000000000006,0.42857142857142855,6,0.0,self_collision,23.076923076923077,37.5,2.3333333333333335,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,30,5,0,0,16,158.25,0.3125,8,0.0,self_collision,38.46153846153847,50.0,3.2,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,31,3,0,0,14,55.583333333333314,0.21428571428571427,6,0.0,self_collision,23.076923076923077,37.5,4.666666666666667,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,32,1,0,0,3,-48.6,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,33,1,0,0,4,-48.61666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,34,1,0,0,3,-48.6,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,35,1,0,0,3,-48.6,0.3333333333333333,4,0.0,self_collision,7.6923076923076925,25.0,3.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,36,4,0,0,9,104.43333333333334,0.4444444444444444,7,0.0,wall_collision,30.76923076923077,43.75,2.25,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,37,1,0,0,4,-48.86666666666667,0.25,4,0.0,self_collision,7.6923076923076925,25.0,4.0,0.16,False,1,0
20251015_171004,4x4,4,4,13,A*,Simple_Agent,38,5,0,0,18,158.7166666666667,0.2777777777777778,8,0.0,self_collision,38.46153846153847,50.0,3.6,0.16,False,1,0
